time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-20T03:41:43.499Z,-18.1486,-66.9594,273.42,4.1,mb,,90,2.162,0.96,us,us600043ie,2019-07-23T22:22:53.040Z,"8km ENE of Machacamarca, Bolivia",earthquake,6.9,6.5,0.197,7,reviewed,us,us
2019-06-20T01:23:26.346Z,-33.6324,-68.7592,150.19,5.4,mww,,91,1.067,0.95,us,us600043h2,2019-07-29T23:29:24.093Z,"66km SSW of San Martin, Argentina",earthquake,7.4,6.3,0.071,19,reviewed,us,us
2019-06-19T09:45:09.509Z,-21.4543,-68.5081,147.27,4.4,mb,,49,0.762,0.74,us,us600042xa,2019-07-17T09:04:05.256Z,"120km NNE of Calama, Chile",earthquake,5.8,6.5,0.162,11,reviewed,us,us
2019-06-18T03:00:01.887Z,-24.0615,-67.0144,206.55,4.2,mb,,54,1.536,0.9,us,us60004279,2019-07-30T00:24:30.040Z,"72km WNW of San Antonio de los Cobres, Argentina",earthquake,10,10.4,0.175,9,reviewed,us,us
2019-06-17T19:14:18.357Z,-21.1264,-68.9719,122.28,3.7,mb,,61,0.488,0.64,us,us600041xz,2019-07-01T15:15:45.040Z,"148km N of Calama, Chile",earthquake,5.8,8.3,0.253,4,reviewed,us,us
2019-06-16T22:50:44.990Z,-24.1449,-66.8138,182.37,4.9,mww,,35,1.726,0.71,us,us600041hr,2019-07-15T01:44:43.040Z,"50km W of San Antonio de los Cobres, Argentina",earthquake,7.6,2.5,0.073,18,reviewed,us,us
2019-06-16T00:58:43.458Z,-31.4583,-72.6147,10,4.5,mb,,174,1.148,0.75,us,us60004193,2019-06-23T00:24:41.040Z,"138km W of Illapel, Chile",earthquake,5.3,1.9,0.164,11,reviewed,us,us
2019-06-15T16:58:03.183Z,-28.4089,-67.3936,131.39,4.5,mb,,47,2.197,0.78,us,us6000415w,2019-07-15T15:49:58.040Z,"41km SSE of Tinogasta, Argentina",earthquake,8,8.6,0.057,91,reviewed,us,us
2019-06-15T10:37:14.889Z,-29.9529,-72.0789,10,4.4,mwr,,149,0.73,0.65,us,us6000413v,2019-07-25T04:47:34.040Z,"70km W of Coquimbo, Chile",earthquake,4.2,1.9,0.038,65,reviewed,us,us
2019-06-15T00:46:06.444Z,-20.1157,-69.1301,94.72,4.1,mb,,52,0.033,0.73,us,us60004112,2019-07-27T01:32:01.040Z,"106km E of Iquique, Chile",earthquake,3.6,5.2,0.235,5,reviewed,us,us
2019-06-14T11:24:25.252Z,-22.3872,-68.6099,117.81,4.3,mb,,47,0.688,0.92,us,us600040nz,2019-07-17T09:42:09.040Z,"34km ENE of Calama, Chile",earthquake,4.9,5.5,0.125,18,reviewed,us,us
2019-06-14T04:21:23.025Z,-30.0507,-72.0911,12.04,4.4,mwr,,142,0.735,0.99,us,us600040l3,2019-07-23T21:32:43.040Z,"72km W of Coquimbo, Chile",earthquake,4,3.3,0.036,75,reviewed,us,us
2019-06-14T04:14:36.236Z,-32.9991,-70.7541,84.37,4.1,mwr,,48,0.158,0.7,us,us600040l2,2019-07-23T21:31:29.040Z,"23km SW of Los Andes, Chile",earthquake,4,5.1,,,reviewed,us,guc
2019-06-14T01:38:26.020Z,-30.1295,-72.1342,10,4.5,mwr,,93,0.693,0.86,us,us600040jr,2019-07-19T21:00:37.040Z,"78km WSW of Coquimbo, Chile",earthquake,5,1.9,0.061,26,reviewed,us,us
2019-06-14T00:24:13.783Z,-30.1153,-72.3196,10,4.8,mb,,173,0.812,0.73,us,us600040je,2019-06-15T03:58:02.040Z,"95km W of Coquimbo, Chile",earthquake,5.2,2,0.279,4,reviewed,us,us
2019-06-14T00:19:12.401Z,-30.0557,-72.0819,11,6.4,mww,,30,0.727,0.87,us,us600040ja,2019-06-19T23:48:59.017Z,"72km W of Coquimbo, Chile",earthquake,4.1,1.6,0.035,80,reviewed,us,us
