DATE,LATITUDE,LONGITUDE,DEPTH,GAP,MAGNITUDE,MAGTYPE,DMIN,RMS,PLACE,TSUNAMI
1971-09-06 13:37:11.000,46.756,141.524,19.2,,6.1,mw,,,"Sakhalin, Russia",1
1971-09-08 11:48:27.000,46.399,141.18,17.5,,6.8,mw,,,"Sakhalin, Russia",1
1971-09-08 16:59:55.000,46.264,141.07,20,,6.5,mw,,,"Sakhalin, Russia",1
1971-09-27 19:01:47.000,46.347,141.144,18.4,,6.6,mw,,,"Sakhalin, Russia",1
1972-08-17 23:44:09.000,-6.05,152.932,20,,7.5,mw,,,"New Britain region, Papua New Guinea",1
1972-12-04 10:16:12.000,33.362,140.827,55,,7.4,mw,,,"Izu Islands, Japan region",1
1973-01-30 21:01:12.500,18.481,-102.996,43,,7.5,ms,,,"Michoacan, Mexico",1
1973-02-28 06:37:49.500,50.486,156.584,27,,7.2,ms,,,Kuril Islands,1
1973-06-17 03:55:02.900,43.233,145.785,48,,7.7,ms,,,"Hokkaido, Japan region",1
1973-06-24 02:43:25.500,43.318,146.442,50,,7.1,ms,,,Kuril Islands,1
1973-10-05 05:47:51.100,-32.518,-71.478,33,,6.7,ms,,,"offshore Valparaiso, Chile",1
1974-01-31 23:30:05.300,-7.461,155.894,34,,7,ms,,,Solomon Islands,1
1974-02-01 03:12:33.100,-7.383,155.575,40,,7.1,ms,,,Solomon Islands,1
1974-09-27 05:47:29.400,43.176,146.651,43,,6.7,ms,,,Kuril Islands,1
1975-05-26 09:11:51.500,35.997,-17.649,33,,7.9,ms,,,Azores-Cape St. Vincent Ridge,1
1975-06-10 13:47:14.500,43.024,147.734,15,,7,ms,,,Kuril Islands,1
1975-07-20 14:37:39.900,-6.59,155.054,49,,7.9,ms,,,"Bougainville region, Papua New Guinea",1
1975-12-26 15:56:38.700,-16.264,-172.467,33,,7.8,ms,,,Samoa Islands region,1
1976-01-14 16:47:33.500,-28.427,-177.657,33,,8,ms,,,Kermadec Islands region,1
1976-01-21 10:05:24.100,44.915,149.123,41,,7,ms,,,Kuril Islands,1
1976-02-04 09:01:43.400,15.324,-89.101,5,,7.5,mw,,,Guatemala,1
1977-04-02 07:15:22.700,-16.696,-172.095,33,,7.6,ms,,,Samoa Islands region,1
1977-04-20 23:42:50.500,-9.89,160.348,19,,7.5,ms,,,Solomon Islands,1
1977-04-20 23:49:13.100,-9.844,160.822,33,,7.5,ms,,,Solomon Islands,1
1977-08-19 06:08:55.000,-11.164,118.378,25,,8.3,mw,,,"south of Sumbawa, Indonesia",1
1978-03-22 00:50:32.200,44.026,149.002,33,,6.7,ms,,,Kuril Islands,1
1978-03-22 21:34:33.400,44.14,149.029,33,,6.6,ms,,,Kuril Islands,1
1978-03-23 00:31:02.100,44.209,148.971,46,,6.8,ms,,,Kuril Islands,1
1978-03-23 03:15:20.300,44.932,148.439,33,,7.5,ms,,,Kuril Islands,1
1978-03-24 19:47:50.700,44.244,148.862,33,,7.6,ms,,,Kuril Islands,1
1978-06-12 08:14:26.400,38.19,142.028,44,,7.7,ms,,,"near the east coast of Honshu, Japan",1
1978-08-14 14:17:50.400,36.63,-6.871,30,,5,mb,,,Strait of Gibraltar,1
1979-02-20 06:32:32.200,40.232,143.703,10,,6.4,ms,,,"off the east coast of Honshu, Japan",1
1979-03-14 11:07:16.300,17.813,-101.276,49,,7.6,ms,,,"Guerrero, Mexico",1
1979-04-15 06:19:44.100,42.096,19.209,10,,6.9,ms,,1.1,Montenegro,1
1979-09-12 05:17:51.400,-1.679,136.04,5,,7.9,ms,,,"Biak region, Indonesia",1
1979-12-12 07:59:03.300,1.598,-79.358,24,,7.7,ms,,,near the coast of Ecuador,1
1980-02-23 05:51:03.200,43.53,146.753,44,,7,ms,,,Kuril Islands,1
1980-06-29 07:20:05.500,34.808,139.181,15,,6.2,ms,,,"near the south coast of Honshu, Japan",1
1980-07-17 19:42:23.200,-12.525,165.916,33,,7.9,ms,,,Santa Cruz Islands,1
1981-02-24 20:53:38.470,38.222,22.934,33,,6.7,ms,,1.2,Greece,1
